,Topic,Count,Name
0,-1,5973,-1_vacunas_personas_sobre_son
1,0,419,0_aliexpress_preferences_cookie_adjust
2,1,418,1_sánchez_erc_gobierno_ex
3,2,414,2_club_fallecimiento_hospital_family
4,3,321,3_trotapoker_tv_castrati_metaverso
5,4,309,4_und_werbung_zu_personalisierte
6,5,309,5_misericordia_mi_almas_coronilla
7,6,293,6_twitch___
8,7,262,7_género_trans_sexo_educación
9,8,258,8_es4221002404260100498096_bancaria_transferencia_cuenta
10,9,254,9_mandates_booster_benefit_vaccine
11,10,244,10_chino_china_jiang_pcch
12,11,242,11_continúas_asumiremos_usamos_damos
13,12,239,12_vacunas_pilgrims_vacuna_hajj
14,13,228,13_diestro_tv_tiby_presentadores
15,14,182,14_ucrania_rusia_otan_kiev
16,15,176,15_pandora_caja_lista_informa
17,16,172,16_palabra_señor_dios_evangelio
18,17,160,17_als_selbständiger_mwst_kaufen
19,18,149,18_inflación_banco_billetes_efectivo
20,19,132,19_paremos_partitocracia_pederastia_nos
21,20,122,20_aprenderás_curso_tu_cursos
22,21,120,21_stew_promocode_stewpeters_peters
23,22,112,22_cbdc_gold_criptomonedas_ftx
24,23,111,23_hunter_laptop_biden_cbs
25,24,106,24_trotapoker_tv_noticias_europa
26,25,105,25_ed_voz_españa_eespaña
27,26,105,26_timeline_cienciaysaludnatural_streamyard_desenmascaramiento
28,27,103,27_vã_dailymotion_deo_5tv
29,28,98,28_nlm_ncbi_nih_pubmed
30,29,98,29_light_fig_layer_structure
31,30,98,30_policía_agentes_detenido_menas
32,31,93,31_yourdevice_install_versions_android
33,32,93,32_actualizaciones_raikov_protocolo_quiero
34,33,91,33_vórtice_diestro_polar_tv
35,34,89,34_instagram_preicano_señoras_témoignage
36,35,86,35_fortzufahren_melde_dich_notice
37,36,84,36_muro_𝕝𝕒_𝕍𝕖𝕣𝕕𝕒𝕕_𝕄𝕦𝕣𝕠
38,37,80,37_insectos_académico_crossref_parásitos
39,38,77,38_coronavirus_percent_people_americans
40,39,77,39_navidad_fiestas_ofender_navideñas
41,40,76,40_kalcker_andreas_locals_ildonaldotrumpo
42,41,75,41_mask_masks_wearing_care
43,42,74,42_canal5tv_doorbell_ring_6k
44,43,74,43_election_ballots_arizona_county
45,44,72,44_aborto_embarazo_abortos_abortar
46,45,71,45_muertes_exceso_excesivas_mortalidad
47,46,70,46_premium_trial_standard_digital
48,47,69,47_scholar_oksalud_remdesivir_google
49,48,68,48_euskalnews_irrégular_solidaridad_rothbard
50,49,65,49_ayl_karin_rix_becker
51,50,65,50_r__mental_artículos_consciencia
52,51,61,51_admefy_publicitarias_escaparate_streaming
53,52,59,52_musk_twitter_elon_taibbi
54,53,59,53_mediocridad_ruby_mediocre_paciente
55,54,58,54_oil_ghana_imports_bawumia
56,55,57,55_benedicto_papa_xvi_iglesia
57,56,56,56_site_nbk25497_utilities_misuse
58,57,55,57_fiamengo_bros_balenciaga_disney
59,58,55,58_plantilla_empleados_despidos_zuckerberg
60,59,55,59_casanova_eduardo_corinna_molina
61,60,54,60_video_autoplay_watch_warning
62,61,54,61_graphene_stoichiometric_nanotubes_materials
63,62,54,62_remanente_ejército_noticias_lecturas
64,63,53,63_independientes_somos_pertenecemos_afín
65,64,53,64_taiwan_tsai_china_chinese
66,65,52,65_messi_marruecos_aficionados_argentina
67,66,52,66_litio_aluminio_plomo_bronquiolitis
68,67,52,67_nocturno_columna_quinta_directo
69,68,51,68_amén_vuestra_cruz_misterios
70,69,50,69_vídeo_vídeos_videoclip_youtube
71,70,50,70_climático_calentamiento_clima_kerry
72,71,50,71_lula_bolsonaro_silva_moraes
73,72,49,72_paper_lab_fbi_sir
74,73,49,73_zhong_bitcoin_fraud_bankman
75,74,49,74_brasil_armadas_moraes_bolsonaro
76,75,47,75_china_pcch_die_aus
77,76,47,76_herrera_conciertos_manolo_entradas
78,77,47,77_davos_schwab_foro_wef
79,78,47,78_intracomunitario_nif_iva_autónomo
80,79,46,79_6g_router_ghz_5g
81,80,45,80_ed_voz_radio_canal
82,81,45,81_cookies_ofrecerte_utilizamos_navegando
83,82,45,82_evelyn_rothschild_magnetismo_hewitt
84,83,45,83_prisión_provincial_condena_pena
85,84,45,84_germany_graphs_hesse_berlin
86,85,44,85_gforemanbcp_คล_นวอร_yinwar
87,86,43,86_diestro_slipknot_griso_tv
88,87,43,87_diestro_tv_testimonio_impresionante
89,88,42,88_nerd_deserves_realm_gamers
90,89,41,89_diestro_tv_productora_procés
91,90,41,90_ine_fallecidos_defunciones_deaths
92,91,41,91_soberanía_zimbabue_harbarth_derechos
93,92,41,92_diariamente_5tv_permitirnos_modesto
94,93,41,93_werbeanzeigen_deinen_kannst_zeigen
95,94,40,94_detección_grafeno_insuflaciones_deltoideas
96,95,40,95_josé_oración_san_salvar
97,96,40,96_vehículos_eléctricos_coches_tarifa
98,97,40,97_liaño_contratos_investigados_ingesa
99,98,39,98_freno_columna_quinta_plenamente
100,99,39,99_radio_canal_ed_tv
