,Topic,Count,Name
0,-1,4553,-1_han_sin_ya_pero
1,0,322,0_arnm_covid19_vacunas_vacuna
2,1,251,1_gnero_sexo_sexual_trans
3,2,214,2_china_pcch_chino_xi
4,3,204,3_continas_asumiremos_usamos_damos
5,4,177,4_ucrania_rusia_otan_guerra
6,5,132,5_diestro_tv_irrgular_euskalnews
7,6,116,6_twitter_musk_fbi_biden
8,7,101,7_seor_palabra_jess_evangelio
9,8,89,8_conversatorio_2023_dn_cascorro
10,9,87,9_mis_ustedes_alma_mi
11,10,87,10_diestro_tv_costumbres_madrid
12,11,87,11_bolsonaro_brasil_lula_silva
13,12,83,12_diestro_tv_saliendo_quantas
14,13,82,13_migraa_dolor_dioses_dios
15,14,81,14_pelcula_lolita_humbert_filmaffinity
16,15,79,15_benedicto_papa_iglesia_misas
17,16,78,16_diestro_tv_complutense_retrasadas
18,17,75,17_grafeno_uv_xido_glutatin
19,18,74,18_espaa_espaoles_prim_polticos
20,19,73,19_club_ftbol_jugador_psame
21,20,69,20_erc_referndum_ponencia_vilalta
22,21,68,21_oksalud_ecuador_kinema_inexacto
23,22,65,22_schwab_davos_klaus_foro
24,23,65,23_diariamente_5tv_modesto_permitirnos
25,24,64,24_influenza_herpes_sars_covid19
26,25,62,25_investigados_contratos_ingesa_fiscala
27,26,60,26_click_cloro_dixido_dulce
28,27,60,27_euros_reglamento_polvo_millones
29,28,59,28_amn_vuestra_cruz_jesucristo
30,29,57,29_san_artabn_virgen_iglesia
31,30,55,30_remanente_ejrcito_noticias_ofrecimiento
32,31,55,31_climtica_climtico_geoingeniera_cambio
33,32,55,32_sesin_videos_inicia_creadores
34,33,54,33_independientes_somos_pertenecemos_tramas
35,34,53,34_gates_oms_bill_pandemia
36,35,53,35_radio_voz_canal_tv
37,36,51,36_muertes_exceso_excesivas_mortalidad
38,37,51,37_cbdc_digital_ftx_bankmanfried
39,38,50,38_tribunal_supremo_sentencia_judicial
40,39,50,39_litio_miocarditis_cardaco_pfizer
41,40,49,40_ojinaga_albarracin_leytrans_trpala
42,41,49,41_edta_internet_personales_datos
43,42,47,42_nifiva_intracomunitario_autnomo_comprando
44,43,46,43_qatar_kaili_parlamento_panzeri
45,44,45,44_diestro_tv_snchez_saqueadores
46,45,45,45_zuckerberg_plantilla_meta_metaverso
47,46,45,46_cncer_cnceres_linfoma_dalgleish
48,47,43,47_menas_polica_bandas_guardia
49,48,43,48_santino_atendi_bloqueadores_hospital
50,49,43,49_elctricos_vehculos_coches_energa
51,50,42,50_vacunacin_biontech_peditrica_nios
52,51,42,51_soberaniaysaludlliriaoutlookes_hipocondraco_publicado_bichito
53,52,42,52_poesa_poeta_poetas_audio
54,53,41,53_homeschooling_online_aprenders_cursos
55,54,40,54_canal5tv___
56,55,40,55_columna_quinta_freno_plenamente
57,56,40,56_nanotubos_carbono_bros_foto
58,57,40,57_relloso_lourdes_simulando_zaragoza
59,58,38,58_atte_distribuidor_royuela_expediente
60,59,38,59_mental_magnesio_reconectars_curso
61,60,37,60_gas_petrleo_diesel_pvpc
62,61,37,61_cookies_ofrecerte_utilizamos_navegando
63,62,35,62_soledad_mental_farahany_mediocridad
64,63,35,63_revelin_tv_verificando_tralar
65,64,34,64_potencias_conectan_memoria_asumimos
66,65,34,65_paremos_1712_terra_mv253
67,66,33,66_insectos_acadmico_google_crossref
68,67,32,67_muro_httpstcob3urp8htxz_verdad_adquiriendo
69,68,31,68_plomo_cobre_zinc_cadmio
70,69,30,69_murcia_museo_teatro_muro
71,70,30,70_irene_montero_elevando_diestro
72,71,29,71_preparacin_alumnos_pregunta_consciencia
73,72,29,72_celebramos_celebra_san_patrono
74,73,28,73_autnomas_comunidades_fallecidos_porcon
75,74,28,74_misericordia_coronilla_diario_faustina
76,75,28,75_canal5tv___
77,76,28,76_exceso_muertes_incertidumbre_hiptesis
78,77,28,77_diestro_tv_primado_enjaulado
79,78,28,78_ofenderlos_atradas_pedfilos_escocia
80,79,27,79_pelcula_espaol_condicion_estan
81,80,27,80_diestro_tv_brasil_probolsonaro
82,81,27,81_bolsonaro_lula_brasil_httpstcoovyppydm0f
83,82,27,82_navidad_ofender_fiestas_debern
84,83,27,83_ia_openai_irobot_kubrick
85,84,26,84_alcohol_ictus_ecj_cerebro
86,85,26,85_lecturas_remanente_evangelio_ejrcito
87,86,25,86_grafeno_tumor_nanotecnologa_nanoburbujas
88,87,24,87_continas_asumiremos_usamos_damos
89,88,24,88_actualizaciones_raikov_protocolo_quiero
90,89,23,89_walker_veritas_malone_okeefe
91,90,23,90_empleo_ofertas_inmigrantes_kenny
92,91,23,91_benito_especialista_rix_rural
93,92,22,92_salvar_oraciones_oracin_cruzada
94,93,22,93_rydberg_filosofa_consciencia_instante
95,94,22,94_saturno_cubo_color_gal
96,95,22,95_estelas_emisiones_carbono_ue
97,96,21,96_mara_inmaculada_mutsaerts_concepcin
98,97,21,97_lep_abandonan_envivoel_surfcity
99,98,20,98_trump_republicanos_demcratas_arizona
100,99,20,99_canarias_tenerife_endoscopia_candelaria
