channel,retweet
BLesNoticias,0.0
soberaniaysalud,0.0
saludprohibidaandreaskalcker,0.0
policiasporlalibertad,0.0
noticiasNOM,0.0
cloritodesodio,0.0
apellidoobligatorio,0.0
elarconte,0.0
ytlaverdadnosharalibres,0.0
InfoVacunas,0.0
tierrapura,4.0
trikooba,11.0
elmurodelaverdad,149.0
ejercitoremanente,152.0
maskebellas,208.0
periodistasporlaverdad,233.0
DrDeBenito,415.0
ElContrafuerte,668.0
estamosdespiertos,699.0
canal5informa,1009.0
lasaludentusmanos,2826.0
ElDiestro,3489.0
laquintacolumna,5454.0
elexpresodemedianoche,7025.0
unionDisidente,10665.0
RosselloCM,16778.0
despertadordelamatrix,19446.0
PADRESPORLAVERDAD,21920.0
PLANDEMIA_MUNDIAL_COVID,25213.0
Medicosporlaverdad,31001.0
elinvestigador_org,74983.0
rafapalreal,82462.0
Dr_Angel_Ruiz_Valdepe_as,113089.0
comusav,346585.0
