channel,ocurrences
others,2
soberaniaysalud,42
BLesNoticias,50
ElContrafuerte,52
cloritodesodio,52
InfoVacunas,52
policiasporlalibertad,67
DrDeBenito,89
apellidoobligatorio,97
saludprohibidaandreaskalcker,150
periodistasporlaverdad,163
elmurodelaverdad,240
comusav,259
lasaludentusmanos,263
Medicosporlaverdad,274
unionDisidente,278
maskebellas,288
elinvestigador_org,333
PLANDEMIA_MUNDIAL_COVID,478
PADRESPORLAVERDAD,485
elexpresodemedianoche,548
trikooba,553
elarconte,572
canal5informa,655
estamosdespiertos,702
tierrapura,826
ejercitoremanente,879
Dr_Angel_Ruiz_Valdepe_as,1007
despertadordelamatrix,1066
RosselloCM,1089
laquintacolumna,1183
rafapalreal,1269
ElDiestro,2173
