channel,ocurrences
others,3
ElContrafuerte,11
cloritodesodio,13
comusav,14
policiasporlalibertad,15
DrDeBenito,26
apellidoobligatorio,29
Medicosporlaverdad,35
periodistasporlaverdad,55
maskebellas,58
lasaludentusmanos,61
saludprohibidaandreaskalcker,64
elmurodelaverdad,71
elinvestigador_org,77
unionDisidente,84
PADRESPORLAVERDAD,92
PLANDEMIA_MUNDIAL_COVID,125
elexpresodemedianoche,198
tierrapura,208
canal5informa,222
estamosdespiertos,223
rafapalreal,236
Dr_Angel_Ruiz_Valdepe_as,249
trikooba,267
ejercitoremanente,278
laquintacolumna,296
despertadordelamatrix,311
RosselloCM,329
elarconte,503
ElDiestro,665
