url,ocurrences
www.disclose.tv,10
www.cnbc.com,10
www.centerforhealthsecurity.org,10
www.brighteon.com,10
retractionwatch.com,10
canal5radio.tv,11
www.economist.com,12
www.theatlantic.com,13
ayl.tv,14
patents.google.com,14
vaughn.live,14
www.naturalnews.com,16
red.cienciaysaludnatural.com,16
jme.bmj.com,17
www.telegraph.co.uk,19
insiderpaper.com,20
www.archives.gov,21
www.ncbi.nlm.nih.gov,22
medalerts.org,22
www.zerohedge.com,25
pubmed.ncbi.nlm.nih.gov,27
www.dailymail.co.uk,31
www.reuters.com,35
expose-news.com,35
newspunch.com,36
dailysceptic.org,37
www.bitchute.com,42
www.foxnews.com,45
www.nytimes.com,47
www.washingtonpost.com,52
www.facebook.com,52
www.thegatewaypundit.com,56
www.youtube.com,59
realrawnews.com,61
www.ft.com,69
odysee.com,77
telegram.org,86
nypost.com,87
dai.ly,102
tierrapura.org,155
youtu.be,161
rumble.com,227
www.twitch.tv,286
trotapoker.tv,310
others,407
s.click.aliexpress.com,419
