channel,ocurrences
others,6
saludprohibidaandreaskalcker,11
ElContrafuerte,11
policiasporlalibertad,11
apellidoobligatorio,18
DrDeBenito,21
elmurodelaverdad,25
maskebellas,35
elinvestigador_org,45
periodistasporlaverdad,45
lasaludentusmanos,47
unionDisidente,67
PADRESPORLAVERDAD,76
PLANDEMIA_MUNDIAL_COVID,94
estamosdespiertos,107
rafapalreal,121
RosselloCM,130
canal5informa,131
Dr_Angel_Ruiz_Valdepe_as,132
despertadordelamatrix,139
elexpresodemedianoche,146
tierrapura,156
laquintacolumna,169
trikooba,249
elarconte,266
ejercitoremanente,274
ElDiestro,598
