url,ocurrences
apnews.com,10
ayl.tv,10
www.laprensa.com.ar,10
cincodias.elpais.com,10
www.elcorreo.com,10
www.periodistadigital.com,11
policiasporlalibertad.tv,11
www.ondacero.es,11
www.lne.es,11
www.levante-emv.com,11
elotroplano.tv,11
rlaotraverdad.wordpress.com,12
www.comusav.com,12
www.filmaffinity.com,12
elexpresoresurreccion.com,12
jonanderetxebarria.wordpress.com,12
www.ivoox.com,12
www.lanacion.com.ar,12
alkfoundation.com,12
www.mundodeportivo.com,12
www.infosalus.com,13
www.elperiodico.com,13
cnnespanol.cnn.com,13
telegra.ph,13
www.xataka.com,13
dulcerevolucion.com,14
es.wikipedia.org,14
www.alertadigital.com,15
vm.tiktok.com,15
www.marca.com,15
nptmedia.tv,16
actualidad-rt.com,16
lourdesrelloso.tv,16
www.20minutos.es,18
www.eltestigofiel.org,18
www.libremercado.com,18
ticketfever.es,18
admefy.com,19
www.publico.es,19
mpr21.info,20
www.niusdiario.es,20
as.com,21
www.google.com,21
soberaniaysalud.com,21
www.antena3.com,22
madridmarket.es,22
www.eleconomista.es,23
www.lenntech.es,24
www.instagram.com,24
elpacifico.webador.es,26
www.aciprensa.com,27
www.rtve.es,28
go.ivoox.com,28
euskalnews.com,29
www.lavozdegalicia.es,29
www.lavanguardia.com,30
cadenaser.com,30
es.theepochtimes.com,30
es-mb.theepochtimes.com,31
panampost.com,33
www.curralia.es,33
www.libertaddigital.com,35
www.laquintacolumna.info,38
www.elespanol.com,39
elinvestigador.org,41
www.vozpopuli.com,43
www.europapress.es,44
www.eldebate.com,47
www.elconfidencial.com,48
revelion.tv,49
www.facebook.com,50
www.larazon.es,51
www.eldiario.es,52
impactoespananoticias.com,55
diario16.com,56
www.infobae.com,58
canal5radio.tv,58
comoqueporque.es,61
theobjective.com,70
periodistasporlaverdad.com,71
cienciaysaludnatural.com,82
gaceta.es,85
okdiario.com,93
www.abc.es,96
elpais.com,96
www.elmundo.es,107
www.canal5tv.es,112
rumble.com,131
nurparatodos.com.ar,173
www.youtube.com,175
odysee.com,194
invierte.biz,270
go.hotmart.com,376
trikooba.org,540
youtu.be,598
tierrapura.org,690
www.eldiestro.es,745
ejercitoremanente.com,783
others,814
eldiestro.tv,1103
