url,ocurrences
colinrivas.show,10
www.disclose.tv,10
www.cnbc.com,10
www.centerforhealthsecurity.org,10
www.laprensa.com.ar,10
cincodias.elpais.com,10
retractionwatch.com,10
www.elcorreo.com,10
us02web.zoom.us,10
www.alk.foundation,10
www.lne.es,11
hotm.art,11
elotroplano.tv,11
www.who.int,11
www.levante-emv.com,11
www.ondacero.es,11
www.brighteon.com,11
tkp.at,11
www.periodistadigital.com,11
www.bbc.com,12
fb.watch,12
www.economist.com,12
www.filmaffinity.com,12
jonanderetxebarria.wordpress.com,12
www.lanacion.com.ar,12
elexpresoresurreccion.com,12
www.ivoox.com,12
rlaotraverdad.wordpress.com,12
www.mundodeportivo.com,12
alkfoundation.com,12
apnews.com,12
m.youtube.com,13
www.theatlantic.com,13
tinyurl.com,13
www.infosalus.com,13
www.elperiodico.com,13
www.xataka.com,13
cnnespanol.cnn.com,13
t.co,14
vaughn.live,14
report24.news,14
www.comusav.com,14
policiasporlalibertad.tv,14
es.wikipedia.org,14
dulcerevolucion.com,14
vm.tiktok.com,15
www.alertadigital.com,15
www.marca.com,15
patents.google.com,15
www.naturalnews.com,16
actualidad-rt.com,16
jme.bmj.com,17
nptmedia.tv,17
vk.com,17
www.20minutos.es,18
red.cienciaysaludnatural.com,18
www.eltestigofiel.org,18
www.libremercado.com,18
ticketfever.es,18
www.telegraph.co.uk,19
www.publico.es,19
admefy.com,19
insiderpaper.com,20
mpr21.info,20
www.niusdiario.es,20
www.archives.gov,21
lourdesrelloso.tv,21
as.com,21
telegra.ph,21
madridmarket.es,22
medalerts.org,22
www.antena3.com,22
www.ncbi.nlm.nih.gov,22
www.eleconomista.es,23
www.lenntech.es,24
www.zerohedge.com,25
elpacifico.webador.es,26
www.google.com,26
pubmed.ncbi.nlm.nih.gov,27
www.rtve.es,28
www.aciprensa.com,28
go.ivoox.com,28
euskalnews.com,29
www.lavozdegalicia.es,29
www.lavanguardia.com,30
cadenaser.com,30
es.theepochtimes.com,30
www.dailymail.co.uk,31
es-mb.theepochtimes.com,31
ayl.tv,31
soberaniaysalud.com,31
panampost.com,33
www.curralia.es,33
www.reuters.com,35
www.libertaddigital.com,35
expose-news.com,35
newspunch.com,36
hermanosbarea.tv,36
m.facebook.com,37
dailysceptic.org,37
www.laquintacolumna.info,39
www.elespanol.com,39
elinvestigador.org,41
www.instagram.com,43
www.vozpopuli.com,43
www.europapress.es,44
www.foxnews.com,45
www.bitchute.com,47
www.eldebate.com,47
fb.com,48
www.elconfidencial.com,48
www.nytimes.com,49
www.larazon.es,51
www.eldiario.es,52
www.washingtonpost.com,52
euskalnews.tv,54
impactoespananoticias.com,55
diario16.com,56
www.thegatewaypundit.com,56
www.infobae.com,58
comoqueporque.es,61
realrawnews.com,61
revelion.tv,63
www.ft.com,69
theobjective.com,70
periodistasporlaverdad.com,71
canal5radio.tv,80
cienciaysaludnatural.com,84
gaceta.es,85
nypost.com,87
telegram.org,88
okdiario.com,93
elpais.com,96
www.abc.es,96
dai.ly,106
www.elmundo.es,108
www.canal5tv.es,112
youtube.com,165
nurparatodos.com.ar,174
www.facebook.com,227
www.twitch.tv,286
rumble.com,403
s.click.aliexpress.com,419
invierte.biz,496
www.youtube.com,499
trotapoker.tv,502
go.hotmart.com,534
trikooba.org,540
odysee.com,588
www.eldiestro.es,745
ejercitoremanente.com,793
tierrapura.org,851
youtu.be,1057
eldiestro.tv,1116
others,1309
