url,ocurrences
pubmed.ncbi.nlm.nih.gov,10
www.aciprensa.com,10
www.elconfidencial.com,10
www.rtve.es,10
go.ivoox.com,10
www.eltestigofiel.org,10
lourdesrelloso.tv,11
www.infobae.com,11
www.instagram.com,11
revelion.tv,11
elpacifico.webador.es,11
www.vozpopuli.com,11
es-mb.theepochtimes.com,12
m.facebook.com,13
okdiario.com,13
euskalnews.tv,14
hermanosbarea.tv,14
theobjective.com,14
www.thegatewaypundit.com,15
elpais.com,16
newspunch.com,17
www.eldiario.es,17
www.eldebate.com,18
www.abc.es,18
realrawnews.com,19
www.facebook.com,19
fb.com,20
www.larazon.es,21
impactoespananoticias.com,22
diario16.com,23
comoqueporque.es,24
telegram.org,26
canal5radio.tv,27
cienciaysaludnatural.com,32
dai.ly,32
periodistasporlaverdad.com,36
www.canal5tv.es,45
youtube.com,54
nurparatodos.com.ar,66
rumble.com,74
www.twitch.tv,93
s.click.aliexpress.com,116
trotapoker.tv,137
odysee.com,156
go.hotmart.com,158
www.youtube.com,162
tierrapura.org,211
www.eldiestro.es,214
trikooba.org,258
ejercitoremanente.com,272
youtu.be,291
eldiestro.tv,359
invierte.biz,496
others,546
