url,ocurrences
cadenaser.com,1
www.larazon.es,1
theobjective.com,1
www.zerohedge.com,1
www.lasprovincias.es,1
realrawnews.com,1
www.lavanguardia.com,1
nurparatodos.com.ar,1
maslibertad.com.co,1
m.facebook.com,1
www.farodevigo.es,1
listindiario.com,1
fb.com,1
www.msn.com,1
es.visiontimes.com,1
eldisparate.tv,1
www.noticiasdealava.eus,1
www.wired.com,1
dinaresgurus.blogspot.com,1
cienciayamor.tv,1
canal5radio.tv,1
www.libertaddigital.com,1
www.europapress.es,1
youtu.be,2
victimasdelospoliticos.org,2
odysee.com,2
go.hotmart.com,2
tierrapura.org,3
s.click.aliexpress.com,3
www.twitch.tv,3
telegram.org,3
euskalnews.com,4
eldiestro.tv,4
ejercitoremanente.com,4
www.youtube.com,4
www.eldiestro.es,7
trikooba.org,8
